Name,TaxID,Lineage,Count,Proportion_All(%),Proportion_Classified(%)
Myxococcus,32,cellular organisms; Bacteria; Myxococcota; Myxococcia; Myxococcales; Cystobacterineae; Myxococcaceae; Myxococcus,3,0.000701,0.020653
Unknown (taxid 46),46,taxid_46,3,0.000701,0.020653
Shewanella colwelliana,23,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Alteromonadales; Shewanellaceae; Shewanella; Shewanella colwelliana,3,0.000701,0.020653
Syntrophotalea carbinolica,19,cellular organisms; Bacteria; Thermodesulfobacteriota; Desulfuromonadia; Desulfuromonadales; Syntrophotaleaceae; Syntrophotalea; Syntrophotalea carbinolica,3,0.000701,0.020653
Vitreoscilla sp.,60,cellular organisms; Bacteria; Pseudomonadota; Betaproteobacteria; Neisseriales; Neisseriaceae; Vitreoscilla; unclassified Vitreoscilla; Vitreoscilla sp.,3,0.000701,0.020653
Corallococcus macrosporus,35,cellular organisms; Bacteria; Myxococcota; Myxococcia; Myxococcales; Cystobacterineae; Myxococcaceae; Corallococcus; Corallococcus macrosporus,3,0.000701,0.020653
Chondromyces crocatus,52,cellular organisms; Bacteria; Myxococcota; Polyangia; Polyangiales; Polyangiaceae; Chondromyces; Chondromyces crocatus,3,0.000701,0.020653
Shewanella hanedai,25,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Alteromonadales; Shewanellaceae; Shewanella; Shewanella hanedai,3,0.000701,0.020653
Unknown (taxid 67),67,taxid_67,3,0.000701,0.020653
Neisseria mucosa,488,cellular organisms; Bacteria; Pseudomonadota; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria; Neisseria mucosa,2,0.000467,0.013768
Unknown (taxid 342),342,taxid_342,2,0.000467,0.013768
Archangium,47,cellular organisms; Bacteria; Myxococcota; Myxococcia; Myxococcales; Cystobacterineae; Archangiaceae; Archangium,2,0.000467,0.013768
Simonsiella,71,cellular organisms; Bacteria; Pseudomonadota; Betaproteobacteria; Neisseriales; Neisseriaceae; Simonsiella,2,0.000467,0.013768
Hyphomicrobium vulgare,83,cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiaceae; Hyphomicrobium; Hyphomicrobium vulgare,2,0.000467,0.013768
