Name,TaxID,Lineage,Count,Proportion_All(%),Proportion_Classified(%)
Unknown (taxid 73),73,taxid_73,1,0.000352,0.019194
Yersinia pseudotuberculosis,633,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia pseudotuberculosis complex; Yersinia pseudotuberculosis,1,0.000352,0.019194
Leptospirillum ferrooxidans,180,cellular organisms; Bacteria; Nitrospirota; Nitrospiria; Nitrospirales; Nitrospiraceae; Leptospirillum; Leptospirillum sp. Group I; Leptospirillum ferrooxidans,1,0.000352,0.019194
Unknown (taxid 5212555),5212555,taxid_5212555,1,0.000352,0.019194
Unknown (taxid 30),30,taxid_30,1,0.000352,0.019194
Methylobacterium sp.,409,cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Methylobacteriaceae; Methylobacterium; unclassified Methylobacterium; Methylobacterium sp.,1,0.000352,0.019194
Unknown (taxid 320),320,taxid_320,1,0.000352,0.019194
Unknown (taxid 325),325,taxid_325,1,0.000352,0.019194
Unknown (taxid 572),572,taxid_572,1,0.000352,0.019194
Hyphomicrobium,81,cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiaceae; Hyphomicrobium,1,0.000352,0.019194
Unknown (taxid 260),260,taxid_260,1,0.000352,0.019194
Desulfocurvibacter africanus,873,cellular organisms; Bacteria; Thermodesulfobacteriota; Desulfovibrionia; Desulfovibrionales; Desulfovibrionaceae; Desulfocurvibacter; Desulfocurvibacter africanus,1,0.000352,0.019194
Unknown (taxid 12485),12485,taxid_12485,1,0.000352,0.019194
Pseudoalteromonas carrageenovora,227,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Alteromonadales; Pseudoalteromonadaceae; Pseudoalteromonas; Pseudoalteromonas carrageenovora,1,0.000352,0.019194
Pulveroboletus retipes,34440,cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricomycetidae; Boletales; Boletineae; Boletaceae; Boletaceae incertae sedis; Pulveroboletus; Pulveroboletus retipes,1,0.000352,0.019194
Unknown (taxid 121),121,taxid_121,1,0.000352,0.019194
Desulfuromonas sp.,892,cellular organisms; Bacteria; Thermodesulfobacteriota; Desulfuromonadia; Desulfuromonadales; Desulfuromonadaceae; Desulfuromonas; unclassified Desulfuromonas; Desulfuromonas sp.,1,0.000352,0.019194
Achromobacter lyticus,224,cellular organisms; Bacteria; Pseudomonadota; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter; Achromobacter lyticus,1,0.000352,0.019194
Helicobacter felis,214,cellular organisms; Bacteria; Campylobacterota; Epsilonproteobacteria; Campylobacterales; Helicobacteraceae; Helicobacter; Helicobacter felis,1,0.000352,0.019194
Codakia orbicularis gill symbiont,2362,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Gammaproteobacteria incertae sedis; sulfur-oxidizing symbionts; Codakia orbicularis gill symbiont,1,0.000352,0.019194
Planctomycetaceae,126,cellular organisms; Bacteria; PVC group; Planctomycetota; Planctomycetia; Planctomycetales; Planctomycetaceae,1,0.000352,0.019194
UNKNOWN,NA,,278885,98.166106,0
